,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links,Name
31,RepBarryMoore,2021-06-16T17:03:10.000Z,"RT @RepBethVanDuyne: Numbers do not lie. Last month under President Biden, the southern border saw:

❌180K encounters (21 year high)
❌14K u…",",RepBethVanDuyne,",",",",",",",
32,RepBarryMoore,2021-06-16T16:02:38.000Z,"Failure to follow the science is a failure of leadership.

It's time to fully reopen the People's House.
https://t.co/RAVD6dggVR",",",",",",",",https://t.co/RAVD6dggVR,",
33,RepBarryMoore,2021-06-16T14:34:03.000Z,Biden is on track to bankrupt America. https://t.co/SnsnYYacfn,",",",",",",",https://t.co/SnsnYYacfn,",
34,RepBarryMoore,2021-06-15T20:02:41.000Z,RT @RepBrianBabin: 🚨I'm calling on AG Garland to explain exactly why @TheJusticeDept denied our Congressional Delegation entry into the El…,",RepBrianBabin,",",",",",",",
35,RepBarryMoore,2021-06-15T19:12:37.000Z,"A record-high 48% of small businesses reported unfilled job openings last month.

This is the direct result of incentivizing Americans to stay home.

Biden's failed economic policies will not usher prosperity - but reopening America will.",",",",",",",",",
36,RepBarryMoore,2021-06-15T17:17:41.000Z,"RT @Jim_Jordan: -Border crisis
-High unemployment 
-Gas prices up
-Inflation 
-Churches and schools still closed
-Tax increases coming

And…",",Jim_Jordan,",",",",",",",
37,RepBarryMoore,2021-06-15T14:18:47.000Z,"RT @RepRichHudson: 🚨140 Members &amp; I are calling on the ATF to withdraw its rule on stabilizing braces.

This rule jeopardizes #2A rights of…",",RepRichHudson,",",",",",",",
38,RepBarryMoore,2021-06-15T14:16:10.000Z,"The #BidenBorderCrisis is deadly.

Last month, CBP seized 934 POUNDS of fentanyl at the southern border.

That's enough to kill 211,850,000 Americans.

We must secure the border NOW.",",",",BidenBorderCrisis,",",",",",
39,RepBarryMoore,2021-06-15T12:27:58.000Z,"RT @RepAshleyHinson: The @VP has been the Admin’s “border czar” for 82 days, but she still hasn’t even been to the border! House Democrats…",",RepAshleyHinson,",",",",",",",
40,RepBarryMoore,2021-06-14T21:14:57.000Z,"May 2020 border encounters: 23,237
May 2021 border encounters: 180,034

Folks, that’s a 674% INCREASE - yet @VP is MIA.

Americans deserve better.",",",",",",VP,",",",
41,RepBarryMoore,2021-06-14T21:10:31.000Z,"RT @RepGregSteube: The left’s out-of-control spending not only skyrocketed our debt but led to 12% inflation.
 
All Americans are paying th…",",RepGregSteube,",",",",",",",
42,RepBarryMoore,2021-06-14T21:09:04.000Z,"RT @Jim_Jordan: If you think it’s bad now, just wait till Democrats raise your taxes.",",Jim_Jordan,",",",",",",",
43,RepBarryMoore,2021-06-14T18:21:32.000Z,"Happy birthday, President Donald J. Trump!

Thank you for always putting Americans first. 🇺🇸 https://t.co/IxryPm6D1F",",",",",",",",https://t.co/IxryPm6D1F,",
44,RepBarryMoore,2021-06-14T16:35:03.000Z,RT @SteveScalise: 4 years ago police officers saved dozens of lives—including mine—from a leftist who came to the baseball field to kill Re…,",SteveScalise,",",",",",",",
45,RepBarryMoore,2021-06-14T16:34:33.000Z,"Happy birthday, @USArmy! 🇺🇸

For 246 years, these brave heroes have fought to keep our nation safe. Thank you for your service! https://t.co/ISRWpRWzng",",",",",",USArmy,",",https://t.co/ISRWpRWzng,",
46,RepBarryMoore,2021-06-14T15:54:00.000Z,"RT @RepHerrell: These photos are from yesterday morning, 15 miles north of the border in my district. 

The #BidenBorderCrisis is only gett…",",RepHerrell,",",",",",",",
47,RepBarryMoore,2021-06-14T15:33:30.000Z,"From gasoline to everyday grocery items, prices across the country are on the rise.

⛽️ 56%
🚗 7.3%
🥓 13%
🥛 7.2%
🐟 7.5%
🍳 3.81%

We simply can’t afford #Bidinflation.",",",",Bidinflation,",",",",",
48,RepBarryMoore,2021-06-14T14:05:23.000Z,"For 244 years, the Stars and Stripes have served as the strongest symbol of patriotism, liberty, and sacrifice. This #FlagDay, please join me in honoring the American flag and the freedom it represents.

God bless the USA! 🇺🇸 https://t.co/iLlCuObVdk",",",",FlagDay,",",",",https://t.co/iLlCuObVdk,",
49,RepBarryMoore,2021-06-13T14:46:19.000Z,"RT @GOPLeader: “The United States is a nation of immigrants but we are also a nation of laws. We need to secure our border, protect our nei…",",GOPLeader,",",",",",",",
50,RepBarryMoore,2021-06-12T16:30:00.000Z,"Biden's disastrous economic policies are failing small business owners.

⚠️ 48% have raised prices due to high costs
⚠️ 83% have seen increases in operating costs
⚠️ 81% say it's hard to recruit qualified workers",",",",",",",",",
51,RepMikeRogersAL,2021-06-17T19:18:53.000Z,Thank you to the @USNavy for bringing me a new plaque for my office! https://t.co/PJ1NXcA893,",",",",",USNavy,",",https://t.co/PJ1NXcA893,",
52,RepMikeRogersAL,2021-06-17T19:15:53.000Z,It was great to chat with some the folks who are interning for the House of Representatives this summer. The opportunity to work in these halls is an incredible honor that I hope each and every one of you will cherish and learn from. https://t.co/nrAMRFeHZE,",",",",",",",https://t.co/nrAMRFeHZE,",
53,RepMikeRogersAL,2021-06-17T15:11:56.000Z,"#OnThisDay in 1885 the Statue of Liberty arrived in New York Harbor. 
 
""Give me your tired, your poor, your huddled masses yearning to breathe free.” https://t.co/tk8hK1Tdog",",",",OnThisDay,",",",",https://t.co/tk8hK1Tdog,",
54,RepMikeRogersAL,2021-06-17T15:03:21.000Z,Congratulations to @RepBlakeMoore and his wife Jane on this exciting news! https://t.co/PmUBQPtYVq,",",",",",RepBlakeMoore,",",https://t.co/PmUBQPtYVq,",
