,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
10022,10022,Rob Portman,senrobportman,2021-06-09T01:32:58.000Z,This bipartisan bill is needed now to help support American #jobs and I’m pleased my Senate colleagues agreed with @POTUS and me about the need for a website to better identify contracting opportunities for American manufacturers.,$,jobs,POTUS,$
10023,10023,Rob Portman,senrobportman,2021-06-09T01:32:57.000Z,"We must do everything we can to protect #Ohio workers and create American #jobs, and my bipartisan https://t.co/kgjXRgCyKP Act will ensure our tax dollars aren’t used to create #jobs overseas. https://t.co/kpKRB6AC7v",$,"Ohio, jobs, jobs",$,"https://t.co/kgjXRgCyKP, https://t.co/kpKRB6AC7v"
10024,10024,Rob Portman,senrobportman,2021-06-09T00:51:52.000Z,This bipartisan bill will strengthen efforts to onshore production of PPE by requiring fed agencies to issue longer-term contracts for US-made PPE so companies can make the investments to reshore production and support American #jobs.,$,jobs,$,$
10025,10025,Rob Portman,senrobportman,2021-06-09T00:51:51.000Z,"I’m proud my bipartisan Make PPE in America Act passed the Senate today. As demonstrated by the #COVID19 pandemic, the US is too dependent on #China for critical public health supplies. https://t.co/aH6yZsKLEv",$,"COVID19, China",$,https://t.co/aH6yZsKLEv
10026,10026,Rob Portman,senrobportman,2021-06-09T00:36:39.000Z,"It is imperative that the Biden admin provide #Ukraine &amp; #Georgia with its unwavering support for their effort to attain NATO membership. 

America must continue to stand with their people as they work to secure a democratic, prosperous, &amp; independent future. https://t.co/iCiN8dsJeP",$,"Ukraine, Georgia",$,https://t.co/iCiN8dsJeP
10027,10027,Rob Portman,senrobportman,2021-06-08T23:44:55.000Z,"President Biden’s decision to waive sanctions on the Nord Stream 2 pipeline will strengthen Russia, undermine U.S. national interests, and threaten the safety and security of our ally Ukraine. https://t.co/O2gDAJHeUs",$,$,$,https://t.co/O2gDAJHeUs
10028,10028,Rob Portman,senrobportman,2021-06-08T22:34:23.000Z,"Today on @CBSThisMorning, I joined my colleagues @SenGaryPeters, @RoyBlunt, &amp; @SenAmyKlobuchar to discuss our new bipartisan report on the security, planning, and response failures related to the violent and unprecedented attack on the Capitol on January 6th. https://t.co/Qbr0KKjV7B",$,$,"CBSThisMorning, SenGaryPeters, RoyBlunt, SenAmyKlobuchar",https://t.co/Qbr0KKjV7B
10029,10029,Rob Portman,senrobportman,2021-06-08T18:48:49.000Z,"There are far more job openings in the United States right now than at any point in our nation’s history. 
 
It’s time for the federal government to stop paying people more to stay home than they'd make returning to work. https://t.co/noxAxSvnf3",$,$,$,https://t.co/noxAxSvnf3
10030,10030,Rob Portman,senrobportman,2021-06-08T15:24:47.000Z,"In addition, we recommend enhancing communications between the chain of command at the @DeptofDefense as well as ensuring timely and effective cooperation &amp; coordination amongst federal, state, and local law enforcement.",$,$,DeptofDefense,$
10031,10031,Rob Portman,senrobportman,2021-06-08T15:24:47.000Z,"Our report recommends updating how the intelligence agencies assess &amp; issue intelligence bulletins, particularly as it relates to social media.",$,$,$,$
10032,10032,Rob Portman,senrobportman,2021-06-08T15:24:47.000Z,The joint bipartisan Jan 6 report released today makes recommendations to address key failures in the Capitol Police Board structure and processes and ensure @USCP has the training and equipment necessary to complete its mission. https://t.co/Sxu5Aeyy2M,$,$,USCP,https://t.co/Sxu5Aeyy2M
10033,10033,Rob Portman,senrobportman,2021-06-08T14:20:11.000Z,"The Jan 6 attack on the Capitol was an attack on democracy itself. In the report, we make specific recommendations to ensure an attack like what happened on Jan 6 never happens again. https://t.co/Sxu5Aeyy2M",$,$,$,https://t.co/Sxu5Aeyy2M
10034,10034,Rob Portman,senrobportman,2021-06-08T14:20:11.000Z,"Today, I was proud to join @SenGaryPeters, @RoyBlunt, and @SenAmyKlobuchar in releasing a joint bipartisan congressional oversight report from #HSGAC and the Rules Committee that details the security and intelligence failures in the days leading up to and on Jan 6.",$,HSGAC,"SenGaryPeters, RoyBlunt, SenAmyKlobuchar",$
10035,10035,Rob Portman,senrobportman,2021-06-08T01:34:56.000Z,"The #COVID19 surge in India is heartbreaking. Thankfully, though, we are in a position to help. 
 
The United States must continue provide our friends in India and other countries with lifesaving equipment, vaccines and other aid as quickly as possible",$,COVID19,$,$
10036,10036,Rob Portman,senrobportman,2021-06-07T22:22:52.000Z,"Cardin-Portman addresses this problem by expanding access to 401(k)s and other retirement plans for employees of small businesses, part-time workers &amp; low-income Americans.",$,$,$,$
10037,10037,Rob Portman,senrobportman,2021-06-07T22:22:36.000Z,"The pandemic has exacerbated the national retirement crisis. 

Many Americans’ 401(k)s have grown significantly in the last year, but many low incomes families struggled during the pandemic through the loss of jobs and as a result their retirement security has taken a hit.",$,$,$,$
10038,10038,Rob Portman,senrobportman,2021-06-07T21:31:31.000Z,"The retirement crisis touches families in every community across this nation.

Cardin-Portman will help ensure Americans are able to retire w/ dignity and peace of mind by helping them save more for their retirement.

I appreciate the widespread support for this critical effort.",$,$,$,$
10039,10039,Rob Portman,senrobportman,2021-06-07T18:10:31.000Z,"The pandemic has shined a light on the health disparities that disproportionately impact minority &amp; rural communities. 

This is a problem that must be addressed. 

These funds will help us take a step towards ensuring every Ohioan receives access to quality health services.",$,$,$,$
