,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
1216,John Hickenlooper,SenatorHick,2021-06-19T14:06:59.000Z,"Today, on #Juneteenth, we recognize the oldest known celebration honoring the end of slavery in the United States. It’s also a reminder that our country is still reckoning with structural racism that continues to plague our health, justice, and economic systems.",",",",Juneteenth,",",",","
1217,Richard Blumenthal,SenBlumenthal,2021-06-20T22:21:01.000Z,"At the Branford Road Race, thousands celebrating Father’s Day in this spectacular annual run—back this year after a break because of COVID. Thanks &amp; congrats to all. https://t.co/hbloM3aGh6",",",",",",",",https://t.co/hbloM3aGh6,"
1218,Richard Blumenthal,SenBlumenthal,2021-06-20T21:02:32.000Z,"Wishing all dads &amp; father figures a very Happy Father’s Day. We are deeply grateful for your dedication, encouragement, &amp; love.",",",",",",",","
1219,Richard Blumenthal,SenBlumenthal,2021-06-20T00:50:49.000Z,"Joyous, proud Juneteenth parades &amp; celebrations in Bridgeport, Easton, &amp; Milford. I was so inspired by great people &amp; spirit. https://t.co/NnnuEu0r4A",",",",",",",",https://t.co/NnnuEu0r4A,"
1220,Richard Blumenthal,SenBlumenthal,2021-06-19T18:08:07.000Z,"CDC may accommodate a dangerous politically driven court decision by rewriting some details, but must retain key safety protections. Vaccinations are vital. So are COVID tests &amp; other steps. Cruise ships may again become deadly Petri dishes of disease without them.",",",",",",",","
1221,Richard Blumenthal,SenBlumenthal,2021-06-19T18:08:07.000Z,A single wrongheaded court decision shouldn’t trump common sense. Consumers ought to think twice before sailing on any cruise ship failing to follow CDC safety rules—like requiring vaccinations for passengers &amp; crew.,",",",",",",","
1222,Richard Blumenthal,SenBlumenthal,2021-06-19T18:08:06.000Z,"If ships sail unsafely, cruise lines will be responsible for COVID-19 casualties, despite this misguided, misleading court decision. Vaccinations, testing, medical facilities on board, &amp; more are the minimal measures of a morally &amp; legally mandated standard of care. https://t.co/PFq1zpl2Fj",",",",",",",",https://t.co/PFq1zpl2Fj,"
1223,Richard Blumenthal,SenBlumenthal,2021-06-19T16:55:50.000Z,"#Juneteenth is not only a commemoration, but a call to action. Our country has come a long way, but the past year has shown us just how much work remains unfinished. It’s on all of us to continue the fight for racial justice &amp; equity.",",",",Juneteenth,",",",","
1224,Chris Murphy,ChrisMurphyCT,2021-06-20T02:23:41.000Z,C’mon everyone. https://t.co/r4EAle6tIY,",",",",",",",https://t.co/r4EAle6tIY,"
1225,Chris Murphy,ChrisMurphyCT,2021-06-20T02:01:32.000Z,"RT @ossoff: Since yesterday we’ve raised $48,300 to support @ReverendWarnock’s re-election.

Can we hit $60k by tonight?

✅ Support year-ro…",",ossoff,",",",",",","
