:START_ID(Tweet),:END_ID(Coach-ca),:TYPE,Specification
173,Thierry Henry,references,
395,Dusty Baker ,references,
768,Steve Kerr,references,
2161,Dusty Baker ,references,
2163,Dusty Baker ,references,
2164,Dusty Baker ,references,
2165,Dusty Baker ,references,
2167,Dusty Baker ,references,
2168,Dusty Baker ,references,
2171,Dusty Baker ,references,
4588,Garry Monk,references,
