:START_ID(Tweet),:END_ID(Brand Vertical-ca),:TYPE,Specification
4074,Entertainment,references,
4078,Entertainment,references,
4088,Government/Education,references,
4098,Government/Education,references,
4101,Business & finance,references,
4104,Voting Machines - Government/Education,references,
4124,Government/Education,references,
4140,Government/Education,references,
4148,Government/Education,references,
4180,Government/Education,references,
4197,Government/Education,references,
4198,Government/Education,references,
4210,Transportation,references,
4214,Energy,references,
4233,Government/Education,references,
4235,Government/Education,references,
4250,Government/Education,references,
4265,Government/Education,references,
4294,Government/Education,references,
4308,Government/Education,references,
4311,Government/Education,references,
4330,Government/Education,references,
4342,Government/Education,references,
4348,Government/Education,references,
4370,Voting Machines - Government/Education,references,
4374,Government/Education,references,
4381,Government/Education,references,
4398,Government/Education,references,
4438,Government/Education,references,
4460,Government/Education,references,
4468,Government/Education,references,
4472,Dining,references,
4472,Dining,references,
4483,Government/Education,references,
4490,Government/Education,references,
4501,Government/Education,references,
4510,Government/Education,references,
4525,Government/Education,references,
4534,Government/Education,references,
4574,Government/Education,references,
4596,Government/Education,references,
4635,Entertainment,references,
4644,Business & finance,references,
4658,CPG,references,
4683,Government/Education,references,
4716,Government/Education,references,
4756,Government/Education,references,
4820,CPG,references,
4820,CPG,references,
4841,Government/Education,references,
4856,Government/Education,references,
4865,Entertainment,references,
4900,Government/Education,references,
4913,Government/Education,references,
4938,Government/Education,references,
4940,Government/Education,references,
4953,Government/Education,references,
4988,Government/Education,references,
5003,Entertainment,references,
5005,Entertainment,references,
5028,Transportation,references,
5057,Government/Education,references,
5095,Government/Education,references,
5112,Energy,references,
5113,Energy,references,
5140,Entertainment,references,
5143,Entertainment,references,
5144,Entertainment,references,
5145,Entertainment,references,
5162,Government/Education,references,
5169,Aerospace,references,Aerospace
5182,Government/Education,references,
5210,Entertainment,references,
5215,Government/Education,references,
5238,Retail industry,references,
5239,Government/Education,references,
5251,Government/Education,references,
5260,Government/Education,references,
5261,Government/Education,references,
5267,Entertainment,references,
5269,Government/Education,references,
5278,Entertainment,references,
5280,Government/Education,references,
5280,Entertainment,references,
5288,Government/Education,references,
5291,Government/Education,references,
5302,Retail industry,references,
5305,Government/Education,references,
5307,Government/Education,references,
5367,Government/Education,references,
5371,Government/Education,references,
5415,Government/Education,references,
5440,Entertainment,references,
5463,Government/Education,references,
5464,Aerospace,references,Aerospace
5465,Transportation,references,
5491,Energy,references,
5514,Government/Education,references,
5556,Entertainment,references,
5558,Voting Machines - Government/Education,references,
5596,B2B,references,
5635,CPG,references,
5654,Entertainment,references,
5656,Entertainment,references,
5663,Entertainment,references,
5667,Government/Education,references,
5678,Government/Education,references,
5687,Energy,references,
5699,Government/Education,references,
5733,Entertainment,references,
5737,Government/Education,references,
5745,Entertainment,references,
5749,Business & finance,references,
5755,Government/Education,references,
5764,Government/Education,references,
5812,Entertainment,references,
5861,Government/Education,references,
5875,Government/Education,references,
5908,Government/Education,references,
5929,Government/Education,references,
5992,Retail industry,references,
6011,Retail industry,references,
6012,Retail industry,references,
6013,Government/Education,references,
6020,Government/Education,references,
