:START_ID(Tweet),:END_ID(States-ca),:TYPE,Specification
4448,Florida,references,Florida
4451,Florida,references,Florida
4455,Florida,references,Florida
4488,Alaska,references,Alaska
4492,Alaska,references,Alaska
4493,Alaska,references,Alaska
4498,Alaska,references,Alaska
4502,Alabama,references,Alabama
4511,Alabama,references,Alabama
4512,Alabama,references,Alabama
4523,Mississippi,references,Mississippi
4524,Arkansas,references,Arkansas
4532,Arizona,references,Arizona
4535,Arizona,references,Arizona
4540,California,references,California
4542,California,references,California
4543,California,references,California
4547,California,references,California
4555,California,references,California
4556,Colorado,references,Colorado
4561,Colorado,references,Colorado
4568,Colorado,references,Colorado
4571,Colorado,references,Colorado
4573,Colorado,references,Colorado
4576,Colorado,references,Colorado
4577,Colorado,references,Colorado
4579,Colorado,references,Colorado
4581,Colorado,references,Colorado
4583,Colorado,references,Colorado
4608,Georgia,references,Georgia
4616,Michigan,references,Michigan
4616,South Dakota,references,South Dakota
4624,Connecticut,references,Connecticut
4629,Hawaii,references,Hawaii
4631,Connecticut,references,Connecticut
4634,Connecticut,references,Connecticut
4637,Connecticut,references,Connecticut
4656,Connecticut,references,Connecticut
4660,Connecticut,references,Connecticut
4663,Delaware,references,Delaware
4665,Delaware,references,Delaware
4667,Delaware,references,Delaware
4669,Delaware,references,Delaware
4675,Delaware,references,Delaware
4686,Florida,references,Florida
4692,Florida,references,Florida
4693,Florida,references,Florida
4694,Florida,references,Florida
4695,Florida,references,Florida
4698,Florida,references,Florida
4699,Florida,references,Florida
4702,Florida,references,Florida
4703,Florida,references,Florida
4704,Florida,references,Florida
4707,Florida,references,Florida
4709,Florida,references,Florida
4724,Florida,references,Florida
4725,Florida,references,Florida
4728,Florida,references,Florida
4745,Florida,references,Florida
4748,Florida,references,Florida
4751,Florida,references,Florida
4754,Florida,references,Florida
4760,Florida,references,Florida
4763,Georgia,references,Georgia
4800,Georgia,references,Georgia
4811,Georgia,references,Georgia
4836,Hawaii,references,Hawaii
4838,Hawaii,references,Hawaii
4839,Hawaii,references,Hawaii
4852,Iowa,references,Iowa
4860,West Virginia,references,West Virginia
4863,Iowa,references,Iowa
4870,Iowa,references,Iowa
4873,Illinois,references,Illinois
