:START_ID(Congresspeople-ID),:END_ID,:TYPE
Ronny Jackson,R,party affiliation
Sheila Jackson Lee,D,party affiliation
Chris Jacobs,R,party affiliation
Sara Jacobs,D,party affiliation
Pramila Jayapal,D,party affiliation
Hakeem Jeffries,D,party affiliation
Bill Johnson,R,party affiliation
Dusty Johnson,R,party affiliation
Eddie Johnson,D,party affiliation
Hank Johnson,D,party affiliation
Mike Johnson,R,party affiliation
Mondaire Jones,D,party affiliation
Jim Jordan,R,party affiliation
David Joyce,R,party affiliation
John Joyce,R,party affiliation
Kaiali'i Kahele,D,party affiliation
Marcy Kaptur,D,party affiliation
John Katko,R,party affiliation
Bill  Keating,D,party affiliation
Fred Keller,R,party affiliation
Mike Kelly,R,party affiliation
Robin Kelly,D,party affiliation
Trent Kelly,R,party affiliation
Ro Khanna,D,party affiliation
Dan Kildee,D,party affiliation
Derek Kilmer,D,party affiliation
Andy Kim,D,party affiliation
Young Kim,R,party affiliation
Ron Kind,D,party affiliation
Adam Kinzinger,R,party affiliation
Ann Kirkpatrick,D,party affiliation
Raja Krishnamoorthi,D,party affiliation
Ann Kuster,D,party affiliation
David Kustoff,R,party affiliation
Darin LaHood,R,party affiliation
Doug LaMalfa,R,party affiliation
Conor Lamb,D,party affiliation
Doug Lamborn,R,party affiliation
James Langevin,D,party affiliation
Rick Larsen,D,party affiliation
John Larson,D,party affiliation
Bob Latta,R,party affiliation
Jake LaTurner,R,party affiliation
Brenda Lawrence,D,party affiliation
Al Lawson,D,party affiliation
Barbara Lee,D,party affiliation
Susie Lee,D,party affiliation
Teresa Leger Fernandez,D,party affiliation
Debbie Lesko,R,party affiliation
Julia Letlow,R,party affiliation
Andy Levin,D,party affiliation
Mike Levin,D,party affiliation
Ted Lieu,D,party affiliation
Zoe Lofgren,D,party affiliation
Billy Long,R,party affiliation
Barry Loudermilk,R,party affiliation
Alan Lowenthal,D,party affiliation
Frank Lucas,R,party affiliation
Blaine Luetkemeyer,R,party affiliation
Elaine Luria,D,party affiliation
Stephen Lynch,D,party affiliation
Nancy Mace,R,party affiliation
Tom Malinowski,D,party affiliation
Nicole Malliotakis,R,party affiliation
Carolyn Maloney,D,party affiliation
Sean Maloney,D,party affiliation
Tracey Mann,R,party affiliation
Kathy Manning,D,party affiliation
Thomas Massie,R,party affiliation
Brian Mast,R,party affiliation
Doris Matsui,D,party affiliation
Lucy McBath,D,party affiliation
Kevin McCarthy,R,party affiliation
Michael McCaul,R,party affiliation
Lisa McClain,R,party affiliation
Tom McClintock,R,party affiliation
Betty McCollum,D,party affiliation
A. McEachin,D,party affiliation
James McGovern,D,party affiliation
Patrick McHenry,R,party affiliation
David McKinley,R,party affiliation
Jerry McNerney,D,party affiliation
Gregory Meeks,D,party affiliation
Peter Meijer,R,party affiliation
Grace Meng,D,party affiliation
Daniel Meuser,R,party affiliation
Kweisi Mfume,D,party affiliation
Carol Miller,R,party affiliation
Mary Miller,R,party affiliation
Mariannette Miller-Meeks,R,party affiliation
John Moolenaar,R,party affiliation
Alexander Mooney,R,party affiliation
Barry Moore,R,party affiliation
Blake Moore,R,party affiliation
Gwen Moore,D,party affiliation
Joe Morelle,D,party affiliation
Seth Moulton,D,party affiliation
Frank Mrvan,D,party affiliation
Markwayne Mullin,R,party affiliation
Gregory Murphy,R,party affiliation
Stephanie Murphy,D,party affiliation
Jerrold Nadler,D,party affiliation
Grace Napolitano,D,party affiliation
Richard Neal,D,party affiliation
Joe Neguse,D,party affiliation
Troy Nehls,R,party affiliation
Dan Newhouse,R,party affiliation
Marie Newman,D,party affiliation
Donald Norcross,D,party affiliation
Ralph Norman,R,party affiliation
Eleanor Norton,D,party affiliation
Devin Nunes,R,party affiliation
Jay Obernolte,R,party affiliation
Alexandria Ocasio-Cortez,D,party affiliation
Tom O'Halleran,D,party affiliation
Ilhan Omar,D,party affiliation
Burgess Owens,R,party affiliation
Steven Palazzo,R,party affiliation
Frank Pallone,D,party affiliation
Gary Palmer,R,party affiliation
Jimmy Panetta,D,party affiliation
Chris Pappas,D,party affiliation
Bill Pascrell,D,party affiliation
Donald Payne,D,party affiliation
Nancy Pelosi,D,party affiliation
Mary Peltola,D,party affiliation
Greg Pence,R,party affiliation
Ed Perlmutter,D,party affiliation
Scott Perry,R,party affiliation
Scott Peters,D,party affiliation
August Pfluger,R,party affiliation
Dean Phillips,D,party affiliation
Chellie Pingree,D,party affiliation
Stacey Plaskett,D,party affiliation
Mark Pocan,D,party affiliation
Katie Porter,D,party affiliation
Bill Posey,R,party affiliation
Ayanna Pressley,D,party affiliation
David Price,D,party affiliation
Mike Quigley,D,party affiliation
Aumua Amata Radewagen,R,party affiliation
Jamie Raskin,D,party affiliation
Guy Reschenthaler,R,party affiliation
Kathleen Rice,D,party affiliation
Tom Rice,R,party affiliation
Cathy Rodgers,R,party affiliation
Hal Rogers,R,party affiliation
Mike Rogers,R,party affiliation
John Rose,R,party affiliation
Matthew Rosendale,R,party affiliation
Deborah Ross,D,party affiliation
David Rouzer,R,party affiliation
Chip Roy,R,party affiliation
Lucille Roybal-Allard,D,party affiliation
Raul Ruiz,D,party affiliation
Dutch Ruppersberger,D,party affiliation
Bobby Rush,D,party affiliation
John Rutherford,R,party affiliation
Pat  Ryan,D,party affiliation
Tim Ryan,D,party affiliation
Gregorio Sablan,D,party affiliation
Maria Salazar,R,party affiliation
Michael San Nicolas,D,party affiliation
Linda Sánchez,D,party affiliation
John Sarbanes,D,party affiliation
Steve Scalise,R,party affiliation
Mary Scanlon,D,party affiliation
Janice Schakowsky,D,party affiliation
Adam Schiff,D,party affiliation
Brad Schneider,D,party affiliation
Kurt Schrader,D,party affiliation
Kim Schrier,D,party affiliation
David Schweikert,R,party affiliation
Austin Scott,R,party affiliation
David Scott,D,party affiliation
Bobby Scott,D,party affiliation
Joe Sempolinski,R,party affiliation
Pete Sessions,R,party affiliation
Terri Sewell,D,party affiliation
Brad Sherman,D,party affiliation
Mikie Sherrill,D,party affiliation
Mike Simpson,R,party affiliation
Albio Sires,D,party affiliation
Elissa Slotkin,D,party affiliation
Adam Smith,D,party affiliation
Adrian Smith,R,party affiliation
Christopher Smith,R,party affiliation
Jason Smith,R,party affiliation
Lloyd Smucker,R,party affiliation
Darren Soto,D,party affiliation
Abigail Spanberger,D,party affiliation
Victoria Spartz,R,party affiliation
Jackie Speier,D,party affiliation
Melanie  Stansbury,D,party affiliation
Greg Stanton,D,party affiliation
Pete Stauber,R,party affiliation
Michelle Steel,R,party affiliation
Elise Stefanik,R,party affiliation
Bryan Steil,R,party affiliation
W. Steube,R,party affiliation
Haley Stevens,D,party affiliation
Chris Stewart,R,party affiliation
Marilyn Strickland,D,party affiliation
Thomas Suozzi,D,party affiliation
Eric Swalwell,D,party affiliation
Mark Takano,D,party affiliation
Van Taylor,R,party affiliation
Claudia Tenney,R,party affiliation
Bennie Thompson,D,party affiliation
Glenn Thompson,R,party affiliation
Mike Thompson,D,party affiliation
Thomas Tiffany,R,party affiliation
William Timmons,R,party affiliation
Dina Titus,D,party affiliation
Rashida Tlaib,D,party affiliation
Paul Tonko,D,party affiliation
Norma Torres,D,party affiliation
Ritchie Torres,D,party affiliation
Lori Trahan,D,party affiliation
David Trone,D,party affiliation
Michael Turner,R,party affiliation
Lauren Underwood,D,party affiliation
Fred Upton,R,party affiliation
David Valadao,R,party affiliation
Jefferson Van Drew,R,party affiliation
Beth Van Duyne,R,party affiliation
Juan Vargas,D,party affiliation
Marc Veasey,D,party affiliation
Nydia Velázquez,D,party affiliation
Ann Wagner,R,party affiliation
Tim Walberg,R,party affiliation
Jackie Walorski,R,party affiliation
Michael Waltz,R,party affiliation
Debbie Wasserman Schultz,D,party affiliation
Maxine Waters,D,party affiliation
Bonnie Watson Coleman,D,party affiliation
Randy Weber,R,party affiliation
Daniel Webster,R,party affiliation
Peter Welch,D,party affiliation
Brad Wenstrup,R,party affiliation
Bruce Westerman,R,party affiliation
Jennifer Wexton,D,party affiliation
Susan Wild,D,party affiliation
Nikema Williams,D,party affiliation
