name:ID(Politician-ca),:LABEL
John Neely Kennedy,Politician
John P. Sarbanes,Politician
John R. Curtis,Politician
John Rutherford,Politician
John Thune,Politician
Jon Cooper,Politician
Jon Ossoff,Politician
Jon Tester,Politician
Joni Ernst,Politician
Josh Gottheimer,Politician
Josh Hawley,Politician
Josh Shapiro,Politician
Joyce Beatty,Politician
Juan Vargas,Politician
Judy Chu,Politician
Julia Brownley,Politician
"Kaiali'i Kahele""",Politician
Kamala Harris,Politician
Kari Lake,Politician
Karine Jean-Pierre,Politician
Karl Rove,Politician
Kat Cammack,Politician
Katherine Clark,Politician
Kathleen Rice,Politician
Kathy Castor,Politician
Kathy Hochul,Politician
Katie Hobbs,Politician
Kay Granger,Politician
Ken Buck,Politician
Kevin Brady,Politician
Kevin Cramer,Politician
Kevin McCarthy,Politician
Kim Wyman,Politician
Kirsten Gillibrand,Politician
Kirstjen Nielsen,Politician
Kweisi Mfume,Politician
Kyrsten Sinema,Politician
Larry Bucshon,Politician
Larry Hogan,Politician
Lee Zeldin,Politician
Linda McMahon,Politician
Linda Sanchez,Politician
Lindsey Graham,Politician
Lisa Blunt Rochester,Politician
Lisa McClain,Politician
Lisa Murkowski,Politician
Liz Cheney,Politician
Lloyd Doggett,Politician
Lloyd Smucker,Politician
Lois Frankel,Politician
Louie Gohmert,Politician
Lucille Roybal-Allard,Politician
Madison Cawthorn,Politician
Maggie Hassan,Politician
Maggie Oliver,Politician
Mandela Barnes,Politician
Marc Veasey,Politician
Marco Rubio,Politician
Marcy Kaptur,Politician
Maria Cantwell,Politician
Mariannette Miller-Meeks,Politician
Marie Newman,Politician
Marilyn Strickland,Politician
Mario Diaz-Balart,Politician
Marjorie Taylor Greene,Politician
Mark Amodei,Politician
Mark DeSaulnier,Politician
Mark Gordon,Politician
Mark Pocan,Politician
Mark Takano,Politician
Mark Warner,Politician
Markwayne Mullin,Politician
Marsha Blackburn,Politician
Martin Heinrich,Politician
Martin Luther King Jr.,Politician
Mary Lou McDonald,Politician
Matt Gaetz,Politician
Matt Rosendale,Politician
Matthew Cartwright,Politician
Maxine Waters,Politician
Mayra Flores,Politician
Mazie Hirono,Politician
Mehmet Oz,Politician
Melanie Ann Stansbury,Politician
Michael Bennet,Politician
Michael Burgess,Politician
Michael T. McCaul,Politician
Michael Turner,Politician
Michele Bachmann,Politician
Mike Bost,Politician
Mike Carey,Politician
Mike Crapo,Politician
Mike Doyle,Politician
Mike Gallagher,Politician
Mike Garcia,Politician
Mike Huckabee,Politician
Mike Johnson,Politician
Mike Kelly,Politician
Mike Lee,Politician
Mike Quigley,Politician
Mike Rogers,Politician
Mike Rounds,Politician
Mike Simpson,Politician
Mike Thompson,Politician
Mikie Sherrill,Politician
Mitch McConnell,Politician
Mitt Romney,Politician
Mo Brooks,Politician
Mondaire Jones,Politician
Morgan Griffith,Politician
