name:ID(Unified Twitter Taxonomy-ca),:LABEL
Carolyn Maloney,Unified Twitter Taxonomy
Carson Wentz,Unified Twitter Taxonomy
Catherine Cortez Masto,Unified Twitter Taxonomy
Cathy McMorris Rodgers,Unified Twitter Taxonomy
Celebrities,Unified Twitter Taxonomy
Central Banks,Unified Twitter Taxonomy
Chad Pergram,Unified Twitter Taxonomy
Charlie Kirk,Unified Twitter Taxonomy
Chellie Pingree,Unified Twitter Taxonomy
Cheri Bustos,Unified Twitter Taxonomy
Chevrolet,Unified Twitter Taxonomy
Chick-fil-A,Unified Twitter Taxonomy
Chile political figures,Unified Twitter Taxonomy
Chile politics,Unified Twitter Taxonomy
Chip Roy,Unified Twitter Taxonomy
Chris Coons,Unified Twitter Taxonomy
Chris McDaniel,Unified Twitter Taxonomy
Chris Murphy,Unified Twitter Taxonomy
Chris Stewart,Unified Twitter Taxonomy
Chris Sununu,Unified Twitter Taxonomy
Chris Van Hollen,Unified Twitter Taxonomy
Chuck Fleischmann,Unified Twitter Taxonomy
Chuck Grassley,Unified Twitter Taxonomy
Chuck Schumer,Unified Twitter Taxonomy
Cincinnati Bengals,Unified Twitter Taxonomy
Cindy Axne,Unified Twitter Taxonomy
Clarence Thomas,Unified Twitter Taxonomy
Claudia Tenney,Unified Twitter Taxonomy
Clay Higgins,Unified Twitter Taxonomy
Clay Travis ,Unified Twitter Taxonomy
Clemson University,Unified Twitter Taxonomy
Climate change,Unified Twitter Taxonomy
Climate change in the United States,Unified Twitter Taxonomy
Coachella,Unified Twitter Taxonomy
Coca-Cola,Unified Twitter Taxonomy
College sports,Unified Twitter Taxonomy
Conor Lamb,Unified Twitter Taxonomy
Constitution of United States of America,Unified Twitter Taxonomy
Construction,Unified Twitter Taxonomy
Consulting,Unified Twitter Taxonomy
Cooking,Unified Twitter Taxonomy
Cory Booker,Unified Twitter Taxonomy
Country music,Unified Twitter Taxonomy
Cricket,Unified Twitter Taxonomy
Crime in the United States,Unified Twitter Taxonomy
Crisis in Afghanistan,Unified Twitter Taxonomy
Critical Role,Unified Twitter Taxonomy
Cryptocoins,Unified Twitter Taxonomy
Cryptocurrencies,Unified Twitter Taxonomy
Cryptocurrency exchanges,Unified Twitter Taxonomy
Cuisines,Unified Twitter Taxonomy
Customer service,Unified Twitter Taxonomy
Cybersecurity,Unified Twitter Taxonomy
Cynthia Lummis,Unified Twitter Taxonomy
DC Extended Universe,Unified Twitter Taxonomy
Dan Meuser,Unified Twitter Taxonomy
Dan Newhouse,Unified Twitter Taxonomy
Dan Sullivan,Unified Twitter Taxonomy
Dance,Unified Twitter Taxonomy
Daniel Kildee,Unified Twitter Taxonomy
Daniel Webster,Unified Twitter Taxonomy
Danny K. Davis,Unified Twitter Taxonomy
Darin LaHood,Unified Twitter Taxonomy
Dark drama,Unified Twitter Taxonomy
Darrell Issa,Unified Twitter Taxonomy
Darren Soto,Unified Twitter Taxonomy
Data Privacy and Protection,Unified Twitter Taxonomy
Data centers,Unified Twitter Taxonomy
David Cicilline,Unified Twitter Taxonomy
David G. Valadao,Unified Twitter Taxonomy
David Joyce,Unified Twitter Taxonomy
David Kustoff,Unified Twitter Taxonomy
David Price,Unified Twitter Taxonomy
David Rouzer,Unified Twitter Taxonomy
David Scott,Unified Twitter Taxonomy
David Valadao,Unified Twitter Taxonomy
Deb Fischer,Unified Twitter Taxonomy
Debbie Dingell,Unified Twitter Taxonomy
Debbie Lesko,Unified Twitter Taxonomy
Debbie Stabenow,Unified Twitter Taxonomy
Deborah K. Ross,Unified Twitter Taxonomy
Dennis Richardson,Unified Twitter Taxonomy
Derek Kilmer,Unified Twitter Taxonomy
Dia de los Muertos,Unified Twitter Taxonomy
Diana DeGette,Unified Twitter Taxonomy
Dianne Feinstein,Unified Twitter Taxonomy
Dick Durbin,Unified Twitter Taxonomy
Digital asset industry,Unified Twitter Taxonomy
Digital assets & cryptocurrency,Unified Twitter Taxonomy
Digital creators,Unified Twitter Taxonomy
Digital currencies,Unified Twitter Taxonomy
Digital goods & currency,Unified Twitter Taxonomy
Dina Titus,Unified Twitter Taxonomy
Distilleries,Unified Twitter Taxonomy
Diwali,Unified Twitter Taxonomy
Documentary films,Unified Twitter Taxonomy
Dogs,Unified Twitter Taxonomy
Don Bacon,Unified Twitter Taxonomy
Don Beyer,Unified Twitter Taxonomy
Donald McEachin,Unified Twitter Taxonomy
Donald Norcross,Unified Twitter Taxonomy
Donald Payne Jr.,Unified Twitter Taxonomy
Donald Trump,Unified Twitter Taxonomy
Donald Trump Jr.,Unified Twitter Taxonomy
Doris Matsui,Unified Twitter Taxonomy
Doug LaMalfa,Unified Twitter Taxonomy
Doug Lamborn,Unified Twitter Taxonomy
Drama TV,Unified Twitter Taxonomy
Dream,Unified Twitter Taxonomy
