name:ID(Journalist-ca),:LABEL
Bret Baier,Journalist
Brit Hume,Journalist
Chad Pergram,Journalist
Elizabeth MacDonald,Journalist
Glenn Greenwald,Journalist
Harmeet Dhillon,Journalist
Jake Sherman,Journalist
Jim Acosta,Journalist
Kimberley Strassel,Journalist
Laura Ingraham,Journalist
Maggie Haberman,Journalist
Martha Raddatz,Journalist
Mehdi Hasan,Journalist
Nic Robertson,Journalist
Rachel Campos-Duffy,Journalist
Sean Hannity,Journalist
Sharyl Attkisson,Journalist
Tony Romm,Journalist
