:START_ID(Tweet),:END_ID(Entertainment Personality-ca),:TYPE,Specification
686,Alex Jones,references,Alex Jones
1024,Joe Rogan,references,Joe Rogan
3435,Kathy Griffin,references,Kathy Griffin
